NUID,SATREAD,SATMATH,ACTCUM,CARNIGIE,AVGSALMALE,AVGSALWOM,AVGSALTOT,HOUSE,HDEM,HREP,SENATE,SDEM,SREP,PERNWHT,STUFACR,TUITINS,FEEINS,TUITOUT,FEEOUT,FOOTBALL,TUITPER,SLCTVTY,APPEAL,RSRCHPSTU,HIGHBP,CHGENROL,FRACDEGRE,RETPCNT
830,470,480,19,18,7487,6372,7017,0.805,-0.461,0.877,1.072,-0.818,1.117,0.942949591,19,7770,1596,15540,1596,0.273,0.286084212,0.653841286,0.282810685,1480.819653,NA,1.050259345,0.108480926,58
4829,630,668,28,15,11075,9318,10221,0.805,-0.461,0.877,1.072,-0.818,1.117,0.369889503,18,7766,0,17654,0,NA,0.066826678,0.604275287,0.349654875,12131.63706,44.1,1.018331849,0.20718232,79
4370,450,460,19,18,8383,7550,7940,0.805,-0.461,0.877,1.072,-0.818,1.117,0.961986903,16,6936,1784,13872,1784,0.545,0.315085441,0.463858305,0.263415893,444.5264335,40.8,0.895451945,0.11707395,60
7025,600,610,31,16,10844,8259,9710,0.805,-0.461,0.877,1.072,-0.818,1.117,0.245554783,24,10170,0,25950,0,0.933,0.448753645,0.535867193,0.371701031,1481.829244,41.3,1.034688319,0.196309725,86
6880,520,540,23,18,8094,6841,7588,0.805,-0.461,0.877,1.072,-0.818,1.117,0.489990313,16,8700,650,19560,650,NA,0.366386626,0.787089014,0.315843097,67.53826284,40.8,0.988194001,0.135453665,65
766,630,650,30,16,10592,8361,9738,0.805,-0.461,0.877,1.072,-0.818,1.117,0.202802493,19,8808,1616,26424,1616,0.538,0.372643095,0.776604512,0.325130994,4686.620583,NA,1.045415176,0.227153201,90
3623,590,610,29,21,7307,6752,7078,0.805,-0.461,0.877,1.072,-0.818,1.117,0.2048583,13,31954,1174,31954,1174,0.5,0.329297311,0.530578962,0.225922131,0,44.1,1.008163265,0.179757085,86
4471,NA,NA,NA,22,5019,5300,5206,0.805,-0.461,0.877,1.072,-0.818,1.117,0.654882155,14,12320,770,12320,770,NA,0.96511627,0.95412844,0.673076923,0,44.1,0.986710963,0.303030303,50
6533,550,568,23,22,5687,6156,5911,0.805,-0.461,0.877,1.072,-0.818,1.117,0.357737105,14,21975,1046,21975,1046,0.833,0.439725319,0.576943991,0.237511781,0,40.8,0.848270995,0.1921797,66
213,660,610,17,24,3372,3772,3439,0.805,-0.461,0.877,1.072,-0.818,1.117,0.263157895,8,8952,840,8952,840,NA,0.160485937,0.7,1,492.0526316,NA,1.027027027,0.245614035,0
